make,fuel-type,num-of-doors,num-of-cylinders,stroke,compression-ratio,horsepower,city-mpg,highway-mpg,price
subaru,gas,four,four,2.64,9,94,26,32,9960
subaru,gas,four,four,2.64,9,82,24,25,9233
subaru,gas,four,four,2.64,7.7,111,24,29,11259
subaru,gas,four,four,2.64,9,82,28,32,7463
subaru,gas,four,four,2.64,9,94,25,31,10198
subaru,gas,four,four,2.64,9,82,23,29,8013
subaru,gas,four,four,2.64,7.7,111,23,23,11694
toyota,gas,two,four,3.03,9,62,35,39,5348
toyota,gas,two,four,3.03,9,62,31,38,6338
toyota,gas,four,four,3.03,9,62,31,38,6488
toyota,gas,four,four,3.03,9,62,31,37,6918
toyota,gas,four,four,3.03,9,62,27,32,7898
toyota,gas,four,four,3.03,9,62,27,32,8778
toyota,gas,four,four,3.03,9,70,30,37,6938
toyota,gas,four,four,3.03,9,70,30,37,7198
toyota,diesel,four,four,3.35,22.5,56,34,36,7898
toyota,diesel,four,four,3.35,22.5,56,38,47,7788
toyota,gas,four,four,3.03,9,70,38,47,7738
toyota,gas,four,four,3.03,9,70,28,34,8358
toyota,gas,four,four,3.03,9,70,28,34,9258
toyota,gas,two,four,3.03,9,70,29,34,8058
toyota,gas,two,four,3.03,9,70,29,34,8238
toyota,gas,two,four,3.08,9.4,112,26,29,9298
toyota,gas,two,four,3.08,9.4,112,26,29,9538
toyota,gas,two,four,3.5,9.3,116,24,30,8449
toyota,gas,two,four,3.5,9.3,116,24,30,9639
toyota,gas,two,four,3.5,9.3,116,24,30,9989
toyota,gas,two,four,3.5,9.3,116,24,30,11199
toyota,gas,two,four,3.5,9.3,116,24,30,11549
toyota,gas,two,four,3.5,9.3,116,24,30,17669
toyota,gas,four,four,3.54,8.7,92,29,34,8948
toyota,diesel,four,four,3.35,22.5,73,30,33,10698
toyota,gas,four,four,3.54,8.7,92,27,32,9988
toyota,gas,four,four,3.54,8.7,92,27,32,10898
toyota,gas,four,four,3.54,8.7,92,27,32,11248
toyota,gas,two,six,3.35,9.3,161,20,24,16558
toyota,gas,two,six,3.35,9.3,161,19,24,15998
toyota,gas,four,six,3.35,9.2,156,20,24,15690
toyota,gas,four,six,3.35,9.2,156,19,24,15750
volkswagen,diesel,two,four,3.4,23,52,37,46,7775
volkswagen,gas,two,four,3.4,9,85,27,34,7975
volkswagen,diesel,four,four,3.4,23,52,37,46,7995
volkswagen,gas,four,four,3.4,9,85,27,34,8195
volkswagen,gas,four,four,3.4,9,85,27,34,8495
volkswagen,diesel,four,four,3.4,23,68,37,42,9495
volkswagen,gas,four,four,3.4,10,100,26,32,9995
volkswagen,gas,two,four,3.4,8.5,90,24,29,11595
volkswagen,gas,two,four,3.4,8.5,90,24,29,9980
volkswagen,gas,four,five,3.4,8.5,110,19,24,13295
volkswagen,diesel,four,four,3.4,23,68,33,38,13845
volkswagen,gas,four,four,3.4,9,88,25,31,12290
volvo,gas,four,four,3.15,9.5,114,23,28,12940
volvo,gas,four,four,3.15,9.5,114,23,28,13415
volvo,gas,four,four,3.15,9.5,114,24,28,15985
volvo,gas,four,four,3.15,9.5,114,24,28,16515
volvo,gas,four,four,3.15,7.5,162,17,22,18420
volvo,gas,four,four,3.15,7.5,162,17,22,18950
volvo,gas,four,four,3.15,9.5,114,23,28,16845
volvo,gas,four,four,3.15,8.7,160,19,25,19045
volvo,gas,four,six,2.87,8.8,134,18,23,21485
volvo,diesel,four,six,3.4,23,106,26,27,22470
volvo,gas,four,four,3.15,9.5,114,19,25,22625
